uniprot_accession,protein_name,pathway,compound,cid
P05062,Fructose-bisphosphate aldolase B,Reactome_R-HSA-1430728,caffeine,2519
P05089,Arginase-1,Reactome_R-HSA-1430728,caffeine,2519
P05091,"Aldehyde dehydrogenase, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase",Reactome_R-HSA-1430728,caffeine,2519
P05108,"Cholesterol side-chain cleavage enzyme, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P05177,Cytochrome P450 1A2,Reactome_R-HSA-1430728,caffeine,2519
P05181,Cytochrome P450 2E1,Reactome_R-HSA-1430728,caffeine,2519
P06132,Uroporphyrinogen decarboxylase,Reactome_R-HSA-1430728,caffeine,2519
P06280,Alpha-galactosidase A,Reactome_R-HSA-1430728,caffeine,2519
P06576,"ATP synthase F(1) complex subunit beta, mitochondrial",Reactome_R-HSA-1430728,caffeine,2519
P06727,Apolipoprotein A-IV,Reactome_R-HSA-1430728,caffeine,2519
P06732,Creatine kinase M-type,Reactome_R-HSA-1430728,caffeine,2519
P06733,Alpha-enolase,Reactome_R-HSA-1430728,caffeine,2519
P06737,"Glycogen phosphorylase, liver form",Reactome_R-HSA-1430728,caffeine,2519
P06744,Glucose-6-phosphate isomerase,Reactome_R-HSA-1430728,caffeine,2519
P07099,Epoxide hydrolase 1,Reactome_R-HSA-1430728,caffeine,2519
P07101,Tyrosine 3-monooxygenase,Reactome_R-HSA-1430728,caffeine,2519
P07148,"Fatty acid-binding protein, liver",Reactome_R-HSA-1430728,caffeine,2519
P07195,L-lactate dehydrogenase B chain,Reactome_R-HSA-1430728,caffeine,2519
P07202,Thyroid peroxidase,Reactome_R-HSA-1430728,caffeine,2519
P07205,Phosphoglycerate kinase 2,Reactome_R-HSA-1430728,caffeine,2519
P07327,Alcohol dehydrogenase 1A,Reactome_R-HSA-1430728,caffeine,2519
P07451,Carbonic anhydrase 3,Reactome_R-HSA-1430728,caffeine,2519
P07602,Prosaposin,Reactome_R-HSA-1430728,caffeine,2519
