canonical_target,total_count,n_compounds,compounds
cytochrome p450 2e1,2,1,caffeine
dna dependent protein kinase catalytic subunit,2,1,caffeine
dual specificity calcium calmodulin dependent 3 5 cyclic nucleotide phosphodiesterase 1b,2,1,caffeine
guanine nucleotide binding protein g subunit alpha isoforms short,2,1,forskolin
h1 5,2,1,caffeine
h1 6,2,1,caffeine
hla a,2,1,caffeine
inositol 1 4 5 trisphosphate gated calcium channel itpr1,2,1,caffeine
inositol 1 4 5 trisphosphate gated calcium channel itpr2,2,1,caffeine
inositol 1 4 5 trisphosphate gated calcium channel itpr3,2,1,caffeine
phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit alpha isoform,2,1,caffeine
serine threonine protein kinase atr,2,1,caffeine
sodium dependent dopamine transporter,2,1,maprotiline
sodium dependent serotonin transporter,2,1,maprotiline
3 5 cyclic amp phosphodiesterase 4a,1,1,caffeine
3 5 cyclic amp phosphodiesterase 4c,1,1,caffeine
3 5 cyclic amp phosphodiesterase 7b,1,1,caffeine
AADAC,1,1,bethanechol
AAK1,1,1,caffeine
AAMP,1,1,bethanechol
AANAT,1,1,bethanechol
AATK,1,1,caffeine
AAVS1,1,1,bethanechol
ABCA1,1,1,caffeine
ABCA2,1,1,caffeine
ABCC1,1,1,caffeine
ABCC4,1,1,caffeine
ABCF1,1,1,caffeine
ABI1,1,1,caffeine
ABL1,1,1,caffeine
ABL2,1,1,caffeine
ACACB,1,1,caffeine
ACAT2,1,1,caffeine
ACOX1,1,1,caffeine
ACTN1,1,1,caffeine
ADAMTS5,1,1,caffeine
ADAR,1,1,caffeine
ADARB1,1,1,caffeine
ADCY7,1,1,caffeine
ADCY9,1,1,caffeine
ADD1,1,1,caffeine
ADIPOR2,1,1,caffeine
ADRM1,1,1,caffeine
ADSL,1,1,caffeine
AFF1,1,1,caffeine
AFF3,1,1,caffeine
AGAP2,1,1,caffeine
AGFG1,1,1,caffeine
AGFG2,1,1,caffeine
AGGF1,1,1,caffeine
AGT,1,1,caffeine
AGTR1A,1,1,caffeine
AIP,1,1,caffeine
AKAP10,1,1,caffeine
AKAP17A,1,1,caffeine
AKR1A1,1,1,caffeine
AKT2,1,1,caffeine
AKTIP,1,1,caffeine
ALDH18A1,1,1,caffeine
ALDH3A2,1,1,caffeine
ALDH4A1,1,1,caffeine
ALDH9A1,1,1,caffeine
ALDOC,1,1,caffeine
ALMS1,1,1,caffeine
ALPL,1,1,caffeine
AMER1,1,1,caffeine
AMFR,1,1,caffeine
ANAPC5,1,1,caffeine
ANG,1,1,caffeine
ANGPT2,1,1,caffeine
ANGPTL4,1,1,caffeine
ANK2,1,1,caffeine
ANKIB1,1,1,caffeine
ANKLE2,1,1,caffeine
ANKRD13A,1,1,caffeine
ANKRD17,1,1,caffeine
