uniprot_accession,total_count,n_compounds,compounds,symbol,geneid,n_pathways,pathways
P10768,2.0,1.0,caffeine,ESD,2098,2.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859
P10809,2.0,1.0,caffeine,HSPD1,3329,0.0,
P10980,2.0,1.0,pilocarpine,CHRM2,81645,0.0,
P11169,2.0,1.0,caffeine,SLC2A3,6515,0.0,
P11171,2.0,1.0,caffeine,EPB41,2035,0.0,
P11274,2.0,1.0,caffeine,BCR,613,0.0,
P11387,2.0,1.0,caffeine,TOP1,7150,0.0,
P11413,2.0,1.0,caffeine,G6PD,2539,1.0,Reactome_R-HSA-1430728
P11474,2.0,1.0,caffeine,ESRRA,2101,1.0,Reactome_R-HSA-1430728
P11532,2.0,1.0,caffeine,DMD,1756,0.0,
P11717,2.0,1.0,caffeine,IGF2R,3482,0.0,
P12268,2.0,1.0,caffeine,IMPDH2,3615,1.0,Reactome_R-HSA-1430728
P12277,2.0,1.0,caffeine,CKB,1152,1.0,Reactome_R-HSA-1430728
P12429,2.0,1.0,Ethanolamine,ANXA3,306,0.0,
P12814,2.0,1.0,caffeine,ACTN1,87,0.0,
P12821,2.0,1.0,caffeine,ACE,1636,0.0,
P12956,2.0,1.0,caffeine,XRCC6,2547,0.0,
P13010,2.0,1.0,caffeine,XRCC5,7520,0.0,
P13498,2.0,1.0,caffeine,CYBA,1535,0.0,
P13584,2.0,1.0,caffeine,CYP4B1,1580,0.0,
P13611,2.0,1.0,caffeine,VCAN,1462,0.0,
P13637,2.0,1.0,caffeine,ATP1A3,478,0.0,
P13688,2.0,1.0,caffeine,CEACAM1,634,0.0,
P13798,2.0,1.0,caffeine,APEH,327,0.0,
P13804,2.0,1.0,caffeine,ETFA,2108,1.0,Reactome_R-HSA-1430728
P13807,2.0,1.0,caffeine,GYS1,2997,1.0,Reactome_R-HSA-1430728
P13984,2.0,1.0,caffeine,GTF2F2,2963,0.0,
P13987,2.0,1.0,caffeine,CD59,966,0.0,
P14625,2.0,1.0,caffeine,HSP90B1,7184,0.0,
P14866,2.0,1.0,caffeine,HNRNPL,3191,0.0,
P15056,2.0,1.0,caffeine,BRAF,673,0.0,
P15090,2.0,1.0,caffeine,FABP4,2167,1.0,Reactome_R-HSA-1430728
P15260,2.0,1.0,caffeine,IFNGR1,3459,0.0,
P15311,2.0,1.0,caffeine,EZR,7430,0.0,
P15538,2.0,1.0,caffeine,CYP11B1,1584,0.0,
P15822,2.0,1.0,caffeine,HIVEP1,3096,0.0,
P15924,2.0,1.0,caffeine,DSP,1832,0.0,
P15954,2.0,1.0,caffeine,COX7C,1350,1.0,Reactome_R-HSA-1430728
P16382,2.0,1.0,caffeine,IL4RA,16190,0.0,
P16591,2.0,1.0,caffeine,FER,2241,0.0,
P16615,2.0,1.0,caffeine,ATP2A2,488,0.0,
P16671,2.0,1.0,caffeine,CD36,948,1.0,Reactome_R-HSA-1430728
P17275,2.0,1.0,caffeine,JUNB,3726,0.0,
P17655,2.0,1.0,caffeine,CAPN2,824,0.0,
P17812,2.0,1.0,caffeine,CTPS1,1503,1.0,Reactome_R-HSA-1430728
P17844,2.0,1.0,caffeine,DDX5,1655,0.0,
P17987,2.0,1.0,caffeine,TCP1,6950,0.0,
P19099,2.0,1.0,caffeine,CYP11B2,1585,4.0,Reactome_R-HSA-1430728;Reactome_R-HSA-211859;Reactome_R-HSA-211897;Reactome_R-HSA-211945
P19338,2.0,1.0,caffeine,NCL,4691,0.0,
P19484,2.0,1.0,Ginsenoside rb1,TFEB,7942,0.0,
P19784,2.0,1.0,caffeine,CSNK2A2,1459,0.0,
