uniprot_accession,total_count,n_compounds,compounds,symbol,geneid
P55884,2,1,caffeine,EIF3B,8662
P55795,2,1,caffeine,HNRNPH2,3188
Q13950,2,2,Ginsenoside rb1;caffeine,RUNX2,860
Q13907,2,1,caffeine,IDI1,3422
Q14451,2,1,caffeine,GRB7,2886
Q14444,2,1,caffeine,CAPRIN1,4076
Q14432,2,1,caffeine,PDE3A,5139
Q14376,2,1,caffeine,GALE,2582
Q14254,2,1,caffeine,FLOT2,2319
Q14247,2,1,caffeine,CTTN,2017
Q14204,2,1,caffeine,DYNC1H1,1778
Q14186,2,1,caffeine,TFDP1,7027
Q14185,2,1,caffeine,DOCK1,1793
O43237,2,1,caffeine,DYNC1LI2,1783
O15551,2,1,caffeine,CLDN3,1365
Q14596,2,1,caffeine,NBR1,4077
P54105,2,1,caffeine,CLNS1A,1207
P53674,2,1,caffeine,CRYBB1,1414
O95081,2,1,caffeine,AGFG2,3268
O95069,2,1,caffeine,KCNK2,3776
P53673,2,1,caffeine,CRYBA4,1413
P55317,2,1,caffeine,FOXA1,3169
P55287,2,1,caffeine,CDH11,1009
P55265,2,1,caffeine,ADAR,103
P55199,2,1,caffeine,ELL,8178
P55107,2,1,caffeine,GDF10,2662
P55072,2,1,caffeine,VCP,7415
P54886,2,1,caffeine,ALDH18A1,5832
P54760,2,1,caffeine,EPHB4,2050
P56539,2,1,caffeine,CAV3,859
P56537,2,1,caffeine,EIF6,3692
P55957,2,1,caffeine,BID,637
P52594,2,1,caffeine,AGFG1,3267
P52565,2,1,caffeine,ARHGDIA,396
P51946,2,1,caffeine,CCNH,902
P51858,2,1,caffeine,HDGF,3068
O95573,2,1,caffeine,ACSL3,2181
O95477,2,1,caffeine,ABCA1,19
P51826,2,1,caffeine,AFF3,3899
P53621,2,1,caffeine,COPA,1314
P52943,2,1,caffeine,CRIP2,1397
P52926,2,1,caffeine,HMGA2,8091
P52824,2,1,caffeine,DGKQ,1609
P52701,2,1,caffeine,MSH6,2956
P54709,2,1,caffeine,ATP1B3,483
P54259,2,1,caffeine,ATN1,1822
P54132,2,1,caffeine,BLM,641
P49773,2,1,caffeine,HINT1,3094
P49761,2,1,caffeine,CLK3,1198
P49760,2,1,caffeine,CLK2,1196
P50895,2,1,caffeine,BCAM,4059
P50747,2,1,caffeine,HLCS,3141
P50613,2,1,caffeine,CDK7,1022
P50570,2,1,caffeine,DNM2,1785
P50548,2,1,caffeine,ERF,2077
P50443,2,1,caffeine,SLC26A2,1836
P50402,2,1,caffeine,EMD,2010
P50395,2,1,caffeine,GDI2,2665
P51654,2,1,caffeine,GPC3,2719
P51648,2,1,caffeine,ALDH3A2,224
P51610,2,1,caffeine,HCFC1,3054
P51587,2,1,caffeine,BRCA2,675
P50995,2,1,caffeine,ANXA11,311
O14979,2,1,caffeine,HNRNPDL,9987
P00489,2,1,caffeine,PYGM,100008972
P00441,2,1,caffeine,SOD1,6647
P00390,2,1,caffeine,GSR,2936
P00367,2,1,caffeine,GLUD1,2746
O96019,2,1,caffeine,ACTL6A,86
