,compound,geneid,description,symbol,uniprot_accession,uniprot_accessions
238,caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
239,caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
240,caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
241,caffeine,186,angiotensin II receptor type 2,AGTR2,P50052,P50052
242,caffeine,191,adenosylhomocysteinase,AHCY,P23526,P23526;A0A384MTQ3
243,caffeine,191,adenosylhomocysteinase,AHCY,P23526,P23526;A0A384MTQ3
244,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
245,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
246,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
247,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
248,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
249,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
250,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
251,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
252,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
253,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
254,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
255,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
256,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
257,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
258,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
259,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
260,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
261,caffeine,207,AKT serine/threonine kinase 1,AKT1,P31749,P31749;B0LPE5;B3KVH4
262,caffeine,208,AKT serine/threonine kinase 2,AKT2,P31751,P31751;B4DG79
263,caffeine,208,AKT serine/threonine kinase 2,AKT2,P31751,P31751;B4DG79
264,caffeine,213,albumin,ALB,P02768,P02768
265,caffeine,213,albumin,ALB,P02768,P02768
266,caffeine,213,albumin,ALB,P02768,P02768
267,caffeine,213,albumin,ALB,P02768,P02768
268,caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
269,caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
270,caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
271,caffeine,216,aldehyde dehydrogenase 1 family member A1,ALDH1A1,P00352,P00352;V9HW83
272,caffeine,223,aldehyde dehydrogenase 9 family member A1,ALDH9A1,P49189,P49189
273,caffeine,223,aldehyde dehydrogenase 9 family member A1,ALDH9A1,P49189,P49189
274,caffeine,224,aldehyde dehydrogenase 3 family member A2,ALDH3A2,P51648,P51648
275,caffeine,224,aldehyde dehydrogenase 3 family member A2,ALDH3A2,P51648,P51648
276,caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
277,caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
278,caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
279,caffeine,226,"aldolase, fructose-bisphosphate A",ALDOA,P04075,P04075;V9HWN7
280,caffeine,230,"aldolase, fructose-bisphosphate C",ALDOC,P09972,P09972;A0A024QZ64
281,caffeine,230,"aldolase, fructose-bisphosphate C",ALDOC,P09972,P09972;A0A024QZ64
282,caffeine,249,"alkaline phosphatase, biomineralization associated",ALPL,P05186,P05186
283,caffeine,249,"alkaline phosphatase, biomineralization associated",ALPL,P05186,P05186
284,caffeine,267,autocrine motility factor receptor,AMFR,Q9UKV5,Q9UKV5
285,caffeine,267,autocrine motility factor receptor,AMFR,Q9UKV5,Q9UKV5
