compound,protein,normalized_target,is_gene,gene_symbol_mygene,score,notfound,canonical_target
caffeine,CDK6,CDK6,True,,,,CDK6
caffeine,CDK7,CDK7,True,,,,CDK7
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDKN1A,CDKN1A,True,,,,CDKN1A
caffeine,CDR2,CDR2,True,,,,CDR2
caffeine,CDX4,CDX4,True,,,,CDX4
caffeine,CEBPA,CEBPA,True,,,,CEBPA
caffeine,CEBPA,CEBPA,True,,,,CEBPA
caffeine,CEBPA,CEBPA,True,,,,CEBPA
caffeine,CEBPB,CEBPB,True,,,,CEBPB
caffeine,CEBPB,CEBPB,True,,,,CEBPB
caffeine,CENPB,CENPB,True,,,,CENPB
caffeine,CENPC,CENPC,True,,,,CENPC
caffeine,CENPE,CENPE,True,,,,CENPE
caffeine,CENPF,CENPF,True,,,,CENPF
caffeine,CETN3,CETN3,True,,,,CETN3
caffeine,CFL1,CFL1,True,,,,CFL1
caffeine,CFL2,CFL2,True,,,,CFL2
caffeine,CHD1,CHD1,True,,,,CHD1
caffeine,CHD2,CHD2,True,,,,CHD2
caffeine,CHD3,CHD3,True,,,,CHD3
caffeine,CHD4,CHD4,True,,,,CHD4
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,CHEK1,CHEK1,True,,,,CHEK1
caffeine,Chitotriosidase-1,chitotriosidase 1,False,,,True,chitotriosidase 1
caffeine,Chitotriosidase-1,chitotriosidase 1,False,,,True,chitotriosidase 1
caffeine,CKB,CKB,True,,,,CKB
caffeine,TBCB,TBCB,True,,,,TBCB
caffeine,AP2M1,AP2M1,True,,,,AP2M1
caffeine,CLIC1,CLIC1,True,,,,CLIC1
caffeine,CLK2,CLK2,True,,,,CLK2
caffeine,CLK3,CLK3,True,,,,CLK3
caffeine,CLN3,CLN3,True,,,,CLN3
caffeine,CLNS1A,CLNS1A,True,,,,CLNS1A
caffeine,CLTC,CLTC,True,,,,CLTC
caffeine,ABCC2,ABCC2,True,,,,ABCC2
caffeine,ABCC2,ABCC2,True,,,,ABCC2
caffeine,CNN2,CNN2,True,,,,CNN2
caffeine,CNN3,CNN3,True,,,,CNN3
caffeine,CNP,CNP,True,,,,CNP
caffeine,COL1A1,COL1A1,True,,,,COL1A1
caffeine,COL1A1,COL1A1,True,,,,COL1A1
caffeine,COL2A1,COL2A1,True,,,,COL2A1
caffeine,COMT,COMT,True,,,,COMT
caffeine,COPA,COPA,True,,,,COPA
caffeine,CORT,CORT,True,,,,CORT
caffeine,COX7C,COX7C,True,,,,COX7C
caffeine,CPD,CPD,True,,,,CPD
caffeine,CLDN3,CLDN3,True,,,,CLDN3
