compound,protein,normalized_target,is_gene
caffeine,EEF1A1,EEF1A1,True
caffeine,EEF1A1,EEF1A1,True
caffeine,EEF1B2,EEF1B2,True
caffeine,EEF1D,EEF1D,True
caffeine,EEF1D,EEF1D,True
caffeine,EEF1G,EEF1G,True
caffeine,EEF2,EEF2,True
caffeine,EEF2,EEF2,True
caffeine,EFNA1,EFNA1,True
caffeine,EFNB3,EFNB3,True
caffeine,EGR1,EGR1,True
caffeine,EGR1,EGR1,True
caffeine,EHHADH,EHHADH,True
caffeine,EPHA2,EPHA2,True
caffeine,EIF4B,EIF4B,True
caffeine,EIF4E,EIF4E,True
caffeine,EIF4E,EIF4E,True
caffeine,EIF4EBP1,EIF4EBP1,True
caffeine,EIF4EBP1,EIF4EBP1,True
caffeine,EIF4EBP2,EIF4EBP2,True
caffeine,EIF4G1,EIF4G1,True
caffeine,EIF5,EIF5,True
caffeine,EIF5,EIF5,True
caffeine,EIF5A,EIF5A,True
caffeine,SERPINB1,SERPINB1,True
caffeine,ELAVL1,ELAVL1,True
caffeine,ELF1,ELF1,True
caffeine,ELF2,ELF2,True
caffeine,ELF4,ELF4,True
caffeine,EMD,EMD,True
caffeine,MARK2,MARK2,True
caffeine,CTTN,CTTN,True
caffeine,ENO1,ENO1,True
caffeine,ENO1,ENO1,True
caffeine,ENO2,ENO2,True
caffeine,SLC29A1,SLC29A1,True
caffeine,EP300,EP300,True
caffeine,EPB41,EPB41,True
caffeine,EPB41L1,EPB41L1,True
caffeine,EPB41L2,EPB41L2,True
caffeine,DMTN,DMTN,True
caffeine,EPHA1,EPHA1,True
caffeine,EPHB4,EPHB4,True
caffeine,EPRS1,EPRS1,True
caffeine,EPS8,EPS8,True
caffeine,EPS15,EPS15,True
caffeine,NR2F6,NR2F6,True
caffeine,ERBB2,ERBB2,True
caffeine,ERBB3,ERBB3,True
caffeine,ERCC4,ERCC4,True
caffeine,ERCC5,ERCC5,True
caffeine,ERCC6,ERCC6,True
caffeine,ERF,ERF,True
caffeine,ERN1,ERN1,True
caffeine,ESD,ESD,True
caffeine,ESRRA,ESRRA,True
caffeine,ETFA,ETFA,True
caffeine,ETV3,ETV3,True
caffeine,ETV4,ETV4,True
caffeine,ETV5,ETV5,True
caffeine,ETV6,ETV6,True
caffeine,EYA1,EYA1,True
caffeine,EYA2,EYA2,True
caffeine,FABP4,FABP4,True
caffeine,FANCE,FANCE,True
caffeine,ACSL3,ACSL3,True
caffeine,ACSL4,ACSL4,True
caffeine,ACSL4,ACSL4,True
caffeine,BPTF,BPTF,True
caffeine,FARSA,FARSA,True
caffeine,FASN,FASN,True
caffeine,FASN,FASN,True
caffeine,FASN,FASN,True
caffeine,FAT1,FAT1,True
caffeine,FAU,FAU,True
caffeine,FBLN2,FBLN2,True
caffeine,FDFT1,FDFT1,True
caffeine,FDFT1,FDFT1,True
caffeine,FDFT1,FDFT1,True
caffeine,FDX1,FDX1,True
caffeine,FER,FER,True
caffeine,FES,FES,True
caffeine,FGD1,FGD1,True
caffeine,FGF2,FGF2,True
caffeine,FGFR3,FGFR3,True
caffeine,FGFR4,FGFR4,True
caffeine,FHL1,FHL1,True
caffeine,FKBP3,FKBP3,True
caffeine,FKBP5,FKBP5,True
caffeine,FOXM1,FOXM1,True
caffeine,FOXO3,FOXO3,True
caffeine,FLNA,FLNA,True
caffeine,FLNB,FLNB,True
caffeine,FLOT2,FLOT2,True
caffeine,FOS,FOS,True
caffeine,FRK,FRK,True
caffeine,Serine/threonine-protein kinase mTOR,serine threonine protein kinase mtor,False
caffeine,MTOR,MTOR,True
caffeine,MTOR,MTOR,True
caffeine,MTOR,MTOR,True
caffeine,NR5A1,NR5A1,True
caffeine,GAST,GAST,True
caffeine,FUS,FUS,True
caffeine,FUT8,FUT8,True
caffeine,FYN,FYN,True
caffeine,G6PD,G6PD,True
caffeine,XRCC6,XRCC6,True
caffeine,GAB1,GAB1,True
caffeine,GABPA,GABPA,True
caffeine,GAD1,GAD1,True
caffeine,GALE,GALE,True
