compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
simvastatin,3135,HLA-G,"major histocompatibility complex, class I, G",P17693,P17693;A0A0G2JNX1;Q31611;Q5RJ85;Q6DU14;Q8MH48,54454
simvastatin,3146,HMGB1,high mobility group box 1,P09429,P09429;B7Z965;Q5T7C4,54454
simvastatin,3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,P04035,P04035,54454
simvastatin,3162,HMOX1,heme oxygenase 1,P09601,P09601;Q6FH11,54454
simvastatin,3265,HRAS,"HRas proto-oncogene, GTPase",P01112,P01112;X5D945,54454
simvastatin,3283,HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",P14060,P14060,54454
simvastatin,3297,HSF1,heat shock transcription factor 1,Q00613,Q00613,54454
simvastatin,3308,HSPA4,heat shock protein family A (Hsp70) member 4,P34932,P34932,54454
simvastatin,3309,HSPA5,heat shock protein family A (Hsp70) member 5,P11021,P11021;V9HWB4,54454
simvastatin,3312,HSPA8,heat shock protein family A (Hsp70) member 8,P11142,P11142;Q53HF2;V9HW22,54454
simvastatin,3320,HSP90AA1,heat shock protein 90 alpha family class A member 1,P07900,P07900;K9JA46;Q86SX1,54454
simvastatin,3363,HTR7,5-hydroxytryptamine receptor 7,P34969,P34969,54454
simvastatin,3371,TNC,tenascin C,P24821,P24821;B4E1W8;J3QSU6,54454
simvastatin,3381,IBSP,integrin binding sialoprotein,P21815,P21815,54454
simvastatin,3383,ICAM1,intercellular adhesion molecule 1,P05362,P05362;A0A384MEK5,54454
simvastatin,3397,ID1,inhibitor of DNA binding 1,P41134,P41134,54454
simvastatin,3417,IDH1,isocitrate dehydrogenase (NADP(+)) 1,O75874,O75874;A0A024R3Y6,54454
simvastatin,3422,IDI1,isopentenyl-diphosphate delta isomerase 1,Q13907,Q13907;A0A8Q3WKR8,54454
simvastatin,3458,IFNG,interferon gamma,P01579,P01579,54454
simvastatin,3479,IGF1,insulin like growth factor 1,P05019,P05019;Q13429;Q59GC5;Q5U743,54454
simvastatin,3480,IGF1R,insulin like growth factor 1 receptor,P08069,P08069;C9J5X1,54454
simvastatin,3489,IGFBP6,insulin like growth factor binding protein 6,P24592,P24592;F8VVA5,54454
simvastatin,3491,CCN1,cellular communication network factor 1,O00622,O00622;Q6FI18,54454
simvastatin,3551,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,O14920,O14920;A0A499FJS7;G3V105,54454
simvastatin,3552,IL1A,interleukin 1 alpha,P01583,P01583,54454
simvastatin,3553,IL1B,interleukin 1 beta,P01584,P01584,54454
