pathway_id,total_count,n_compounds,compounds
1198017,2,1,Ethanolamine
1198019,2,1,Ethanolamine
1198020,2,1,Ethanolamine
1198021,2,1,Ethanolamine
1198023,2,1,Ethanolamine
1198024,2,1,Ethanolamine
1198025,2,1,Ethanolamine
1198027,2,1,Ethanolamine
1198028,2,1,Ethanolamine
1198029,2,1,Ethanolamine
1198031,2,1,Ethanolamine
1198032,2,1,Ethanolamine
1198033,2,1,Ethanolamine
1198035,2,1,Ethanolamine
1198036,2,1,Ethanolamine
1198037,2,1,Ethanolamine
1198039,2,1,Ethanolamine
1198040,2,1,Ethanolamine
1198041,2,1,Ethanolamine
1198043,2,1,Ethanolamine
1198044,2,1,Ethanolamine
1198045,2,1,Ethanolamine
1198047,2,1,Ethanolamine
1198048,2,1,Ethanolamine
1198049,2,1,Ethanolamine
1198051,2,1,Ethanolamine
1198052,2,1,Ethanolamine
1198053,2,1,Ethanolamine
1198055,2,1,Ethanolamine
1198056,2,1,Ethanolamine
1198057,2,1,Ethanolamine
1198059,2,1,Ethanolamine
1198060,2,1,Ethanolamine
1198061,2,1,Ethanolamine
1198063,2,1,Ethanolamine
1198064,2,1,Ethanolamine
1198065,2,1,Ethanolamine
1198067,2,1,Ethanolamine
1198068,2,1,Ethanolamine
1198069,2,1,Ethanolamine
1198071,2,1,Ethanolamine
1198072,2,1,Ethanolamine
1198073,2,1,Ethanolamine
1198075,2,1,Ethanolamine
1198076,2,1,Ethanolamine
1198077,2,1,Ethanolamine
1198079,2,1,Ethanolamine
1198080,2,1,Ethanolamine
1198081,2,1,Ethanolamine
1198083,2,1,Ethanolamine
1198084,2,1,Ethanolamine
1198085,2,1,Ethanolamine
38618,2,1,Ethanolamine
39074,2,1,Ethanolamine
39738,2,1,Ethanolamine
39740,2,1,Ethanolamine
39838,2,1,Ethanolamine
39907,2,1,Ethanolamine
39912,2,1,Ethanolamine
10844,1,1,caffeine
11118,1,1,caffeine
11119,1,1,caffeine
11120,1,1,caffeine
11123,1,1,caffeine
11124,1,1,caffeine
1184538,1,1,caffeine
1184547,1,1,Ethanolamine
1185344,1,1,Ethanolamine
1185345,1,1,Ethanolamine
