compound,geneid,symbol,description,uniprot_accession,uniprot_accessions,cid
caffeine,137886,UBXN2B,UBX domain protein 2B,Q14CS0,Q14CS0;E5RJ36,2519
caffeine,83549,UCK1,uridine-cytidine kinase 1,Q9HA47,Q9HA47;A0A024R8E7;A0A0S2Z5Y6,2519
caffeine,55252,ASXL2,ASXL transcriptional regulator 2,Q76L83,Q76L83,2519
caffeine,55210,ATAD3A,ATPase family AAA domain containing 3A,Q9NVI7,Q9NVI7,2519
caffeine,55729,ATF7IP,activating transcription factor 7 interacting protein,Q6VMQ6,Q6VMQ6;B3KNI7;B3KQF8,2519
caffeine,54658,UGT1A1,UDP glucuronosyltransferase family 1 member A1,P22309,P22309;Q5DT03,2519
caffeine,80328,ULBP2,UL16 binding protein 2,Q9BZM5,Q9BZM5,2519
caffeine,10497,UNC13B,unc-13 homolog B,O14795,O14795;A0A1B0GUS7;A0A1B0GVW8,2519
caffeine,7374,UNG,uracil DNA glycosylase,P13051,P13051;E5KTA5;E5KTA6,2519
caffeine,65109,UPF3B,UPF3B regulator of nonsense mediated mRNA decay,Q9BZI7,Q9BZI7,2519
caffeine,7398,USP1,ubiquitin specific peptidase 1,O94782,O94782,2519
caffeine,57646,USP28,ubiquitin specific peptidase 28,Q96RU2,Q96RU2;A0A8V8TLZ9;B4E3L3,2519
caffeine,57602,USP36,ubiquitin specific peptidase 36,Q9P275,Q9P275;A0A075B784,2519
caffeine,84132,USP42,ubiquitin specific peptidase 42,Q9H9J4,Q9H9J4,2519
caffeine,9551,ATP5MF,ATP synthase membrane subunit f,P56134,P56134,2519
caffeine,159195,USP54,ubiquitin specific peptidase 54,Q70EL1,Q70EL1;A0A7P0T9K1;B7Z7X1,2519
caffeine,8239,USP9X,ubiquitin specific peptidase 9 X-linked,Q93008,Q93008;A0A994J4R6;A0A994J6S4;Q6P468;Q86X58,2519
caffeine,9341,VAMP3,vesicle associated membrane protein 3,Q15836,Q15836;Q6FGG2,2519
caffeine,84126,ATRIP,ATR interacting protein,Q8WXE1,Q8WXE1,2519
caffeine,6311,ATXN2,ataxin 2,Q99700,Q99700;A0A5F9ZI57;F8VQP2;Q2M2R5;V9GY86,2519
caffeine,7408,VASP,vasodilator stimulated phosphoprotein,P50552,P50552;A0A024R0V4,2519
caffeine,7414,VCL,vinculin,P18206,P18206;B3KXA2;V9HWK2,2519
caffeine,7416,VDAC1,voltage dependent anion channel 1,P21796,P21796;A0A1L1UHR1;B3KTS5,2519
caffeine,10458,BAIAP2,BAR/IMD domain containing adaptor protein 2,Q9UQB8,Q9UQB8;I3L4C2,2519
caffeine,157680,VPS13B,vacuolar protein sorting 13 homolog B,Q7Z7G8,Q7Z7G8,2519
caffeine,9559,VPS26A,VPS26 retromer complex component A,O75436,O75436;B4DLT1,2519
caffeine,55275,VPS53,VPS53 subunit of GARP complex,Q5VIR6,Q5VIR6;B3KS06,2519
caffeine,8314,BAP1,BRCA1 associated deubiquitinase 1,Q92560,Q92560;F8W6N3,2519
caffeine,11177,BAZ1A,bromodomain adjacent to zinc finger domain 1A,Q9NRL2,Q9NRL2,2519
caffeine,146177,VWA3A,von Willebrand factor A domain containing 3A,A6NCI4,A6NCI4,2519
caffeine,653440,WASH6P,"WASP family homolog 6, pseudogene",,,2519
